loud,dance,valence,tempo,energy,live,key,acoustic,speech,type
-2.444,0.513,0.603,179.867,0.952,0.111,7,0.265,0.169,1
-6.619,0.5,0.0758,93.78,0.712,0.0959,8,0.0142,0.043,0
-4.407,0.56,0.544,124.929,0.859,0.298,4,0.0029,0.0326,2
-4.407,0.56,0.544,124.929,0.859,0.298,4,0.0029,0.0326,2
-3.173,0.699,0.696,129.996,0.76,0.132,5,0.00223,0.0677,1
-4.788,0.594,0.609,137.981,0.801,0.0901,7,0.128,0.0257,0
-4.788,0.594,0.609,137.981,0.801,0.0901,7,0.128,0.0257,0
-6.7,0.593,0.867,155.045,0.831,0.0739,9,0.0043,0.0448,1
-5.886,0.638,0.225,104.036,0.656,0.146,5,0.188,0.0357,0
-6.091,0.57,0.706,125.995,0.934,0.983,4,0.124,0.0539,1
-6.283,0.512,0.58,156.388,0.843,0.241,1,0.405,0.183,1
-2.804,0.565,0.196,143.858,0.717,0.165,11,0.686,0.0459,0
-5.844,0.573,0.764,159.937,0.887,0.0911,9,0.0266,0.0356,0
-6.328,0.872,0.807,116.947,0.87,0.0536,1,0.0464,0.142,1
-3.81,0.646,0.498,124.963,0.582,0.402,1,0.051,0.0357,1
-6.12,0.593,0.502,118.008,0.74,0.102,8,0.363,0.0339,1
-4.001,0.71,0.48,99.986,0.73,0.139,5,0.0571,0.0607,0
-3.957,0.517,0.778,126.968,0.839,0.248,4,0.0296,0.0286,0
-5.582,0.835,0.542,122.668,0.669,0.0535,6,0.0336,0.0643,2
-6.075,0.762,0.769,130.009,0.661,0.256,1,0.15,0.0687,1
-3.621,0.792,0.965,129.906,0.85,0.132,0,0.289,0.0329,1
-5.959,0.762,0.72,149.919,0.699,0.0686,2,0.551,0.105,0
-3.923,0.674,0.736,97.991,0.862,0.238,3,0.084,0.0316,0
-8.966,0.794,0.862,116.047,0.811,0.101,6,0.0426,0.038,0
-14.439,0.457,0.349,119.793,0.272,0.372,6,0.729,0.0316,1
-3.96,0.674,0.896,94.009,0.837,0.094,2,0.015,0.0333,1
-5.039,0.452,0.321,186.141,0.834,0.138,0,0.0294,0.0296,0
-6.393,0.535,0.724,170.122,0.691,0.138,7,0.324,0.0304,0
-5.9,0.465,0.544,158.217,0.869,0.136,11,0.678,0.0746,1
-5.752,0.676,0.696,122.221,0.824,0.363,0,0.0271,0.0449,0
-6.333,0.706,0.63,100.013,0.801,0.0822,5,0.00577,0.0399,0
-7.704,0.653,0.4,100.918,0.674,0.113,9,0.207,0.0364,1
-2.352,0.549,0.775,154.095,0.902,0.0508,7,0.0025,0.0563,0
-3.572,0.723,0.629,103.997,0.803,0.0978,9,0.0102,0.0296,0
-3.572,0.723,0.629,103.997,0.803,0.0978,9,0.0102,0.0296,0
-11.85,0.702,0.41,134.199,0.398,0.0669,10,0.742,0.214,1
-4.603,0.583,0.575,174.028,0.829,0.0426,1,0.00864,0.134,1
-13.277,0.592,0.261,90.541,0.211,0.114,10,0.464,0.0321,0
-7.075,0.728,0.602,130.032,0.731,0.0888,2,0.0331,0.0347,2
-4.53,0.56,0.144,104.011,0.595,0.132,9,0.199,0.0274,0
-8.521,0.572,0.12,170.138,0.53,0.127,6,0.0647,0.0654,1
-4.08,0.64,0.361,122.035,0.743,0.101,10,0.269,0.0379,1
-5.306,0.579,0.183,111.987,0.731,0.224,3,0.0169,0.0295,1
-4.362,0.78,0.658,102.024,0.727,0.12,5,0.0753,0.0629,1
-4.559,0.598,0.66,102.473,0.853,0.112,2,0.269,0.0506,1
-2.302,0.54,0.581,136.801,0.857,0.405,0,0.0378,0.038,1
-7.544,0.53,0.22,80.321,0.44,0.0872,2,0.782,0.0492,0
-5.447,0.474,0.345,171.626,0.716,0.134,11,0.0435,0.0589,1
-4.503,0.71,0.518,99.958,0.866,0.385,10,0.0864,0.0608,0
-6.923,0.704,0.863,144.021,0.633,0.29,11,0.0214,0.241,0
-4.86,0.667,0.497,129.891,0.606,0.405,10,0.342,0.0395,1
-4.001,0.646,0.406,130.001,0.855,0.168,10,0.000516,0.0302,1
-4.53,0.638,0.0985,122.037,0.828,0.0903,7,0.043,0.0393,0
-6.668,0.715,0.833,118.01,0.706,0.25,6,0.35,0.0253,1
-7.424,0.498,0.841,105.917,0.888,0.429,9,0.0631,0.0428,0
-7.101,0.755,0.615,129.015,0.688,0.102,8,0.638,0.0329,1
-2.812,0.641,0.841,151.229,0.892,0.221,0,0.255,0.0303,0
-3.47,0.635,0.533,132.026,0.8,0.122,2,0.343,0.0265,0
-3.285,0.561,0.358,94.975,0.777,0.108,7,0.0524,0.0302,0
-7.695,0.649,0.405,125.02,0.647,0.0686,9,0.0039,0.0452,2
-3.624,0.527,0.462,162.058,0.898,0.0686,0,0.027,0.0367,1
-4.193,0.539,0.426,129.793,0.666,0.839,2,0.606,0.0314,0
-11.218,0.553,0.158,142.352,0.362,0.075,4,0.0458,0.0263,0
-3.583,0.686,0.763,143.957,0.97,0.105,2,0.135,0.0532,0
-7.441,0.73,0.697,170.044,0.378,0.0869,5,0.279,0.183,1
-5.892,0.778,0.756,100.024,0.824,0.405,10,0.284,0.0712,2
-3.112,0.792,0.794,94.968,0.895,0.0501,1,0.165,0.0589,0
-4.238,0.826,0.887,91.992,0.836,0.282,3,0.0961,0.0654,0
-2.509,0.487,0.425,139.781,0.842,0.101,6,0.418,0.0332,1
-4.078,0.391,0.434,185.992,0.837,0.106,2,0.135,0.0404,1
-6.955,0.744,0.466,129.998,0.53,0.132,11,0.274,0.0466,1
-4.066,0.5,0.566,130.06,0.899,0.0794,4,4.84e-05,0.0736,0
-6.196,0.745,0.53,92.039,0.854,0.169,0,0.0908,0.0536,0
-8.433,0.678,0.279,108.007,0.775,0.0845,11,0.294,0.0666,0
-7.496,0.678,0.887,134.04,0.69,0.167,9,0.0832,0.0312,1
-6.784,0.622,0.849,138.495,0.818,0.31,9,0.0831,0.0327,0
-4.539,0.539,0.684,183.524,0.8,0.147,2,0.23,0.0447,0
-2.382,0.428,0.686,198.076,0.956,0.58,8,0.0281,0.178,1
-3.172,0.391,0.55,183.901,0.88,0.0742,1,0.00261,0.0488,1
-9.87,0.675,0.454,81.998,0.479,0.088,0,0.633,0.0278,1
-9.736,0.552,0.593,208.571,0.552,0.046,11,0.052,0.0364,0
-4.419,0.751,0.973,97.007,0.731,0.0556,6,0.0838,0.0308,2
-4.581,0.601,0.387,76.979,0.643,0.283,0,0.155,0.0272,0
-9.87,0.767,0.374,108.047,0.285,0.102,10,0.845,0.0322,1
-4.805,0.543,0.41,139.861,0.552,0.406,0,0.458,0.0315,0
-5.494,0.524,0.539,203.867,0.711,0.134,0,0.0567,0.0405,0
-3.778,0.695,0.711,108.054,0.958,0.154,5,0.0148,0.0827,0
-3.942,0.709,0.449,127.988,0.757,0.194,2,0.27,0.0343,1
-7.703,0.648,0.399,96.963,0.392,0.156,0,0.609,0.0248,0
-3.551,0.683,0.706,131.884,0.846,0.346,7,0.0634,0.0422,0
-5.367,0.74,0.812,100.011,0.783,0.123,0,0.0297,0.0427,2
-4.535,0.421,0.491,173.255,0.858,0.067,1,0.0134,0.0963,0
-2.76,0.69,0.604,130.889,0.928,0.547,5,0.00937,0.061,0
-4.072,0.251,0.129,87.714,0.866,0.116,5,0.0494,0.0503,0
-2.627,0.763,0.966,95.015,0.746,0.338,2,0.638,0.069,0
-7.578,0.542,0.332,121.916,0.601,0.107,8,0.0662,0.0335,0
-3.567,0.663,0.325,102.847,0.746,0.0929,2,0.0697,0.0321,2
-4.495,0.595,0.494,99.741,0.87,0.288,0,0.0107,0.0394,0
-5.671,0.684,0.717,130.32,0.659,0.122,2,0.716,0.0678,0
-6.912,0.803,0.77,133.679,0.56,0.0608,1,0.419,0.0398,0
-6.635,0.804,0.85,120.046,0.836,0.213,6,0.32,0.089,0
-5.558,0.849,0.929,134.042,0.934,0.0604,4,0.2,0.102,0
-4.359,0.614,0.726,124.786,0.911,0.126,6,0.246,0.187,2
-3.859,0.622,0.581,130.046,0.931,0.245,6,0.212,0.148,0
-4.397,0.582,0.461,194.008,0.953,0.0668,4,0.202,0.206,0
-4.229,0.524,0.394,140.24,0.673,0.0894,11,0.374,0.0385,0
-6.471,0.825,0.813,95.028,0.852,0.13,6,0.0282,0.0789,0
-4.142,0.615,0.426,131.022,0.763,0.0648,9,0.0119,0.0294,0
-4.577,0.644,0.918,132.028,0.784,0.0765,8,0.0819,0.0286,0
-6.558,0.712,0.687,100.145,0.893,0.096,4,0.0986,0.192,0
-6.15,0.592,0.604,111.808,0.608,0.127,7,0.219,0.157,0
-6.948,0.669,0.377,130.002,0.868,0.0969,8,0.161,0.0402,0
-5.697,0.739,0.776,124.953,0.907,0.0482,10,0.0272,0.0505,0
-6.524,0.757,0.382,111.996,0.672,0.158,0,0.0186,0.0955,0
-2.752,0.413,0.666,169.961,0.976,0.357,2,0.0155,0.0587,0
-5.181,0.459,0.189,133.805,0.515,0.215,1,0.527,0.0293,0
-4.581,0.601,0.387,76.979,0.643,0.283,0,0.155,0.0272,1
-4.953,0.727,0.584,181.76,0.795,0.131,2,0.231,0.22,0
-3.521,0.518,0.416,94.017,0.839,0.109,0,0.0014,0.0287,0
-4.886,0.561,0.334,163.695,0.757,0.116,4,0.0368,0.0518,0
-9.87,0.767,0.374,108.047,0.285,0.102,10,0.845,0.0322,0
-7.021,0.498,0.669,133.918,0.891,0.0942,5,0.0201,0.0415,0
-6.08,0.647,0.538,88.043,0.701,0.113,7,0.648,0.0567,0
-6.496,0.691,0.617,97.68,0.658,0.112,0,0.398,0.0359,0
-5.182,0.76,0.963,160.023,0.914,0.0864,0,0.0251,0.178,0
-6.516,0.68,0.673,163.941,0.856,0.0893,4,0.702,0.158,0
-5.105,0.586,0.684,149.523,0.801,0.355,7,0.185,0.0458,0
-4.007,0.71,0.903,124.014,0.992,0.379,5,0.00955,0.0399,0
-6.004,0.674,0.702,129.951,0.774,0.323,6,0.325,0.0349,0
-8.77,0.586,0.613,72.467,0.569,0.0782,0,0.131,0.0293,0
-3.947,0.809,0.672,130.103,0.965,0.0577,0,0.177,0.0427,1
-2.206,0.715,0.963,79.504,0.97,0.205,0,0.0644,0.0648,0
-4.154,0.688,0.92,135.943,0.942,0.783,2,0.0886,0.052,0
-4.481,0.6,0.75,105.991,0.796,0.484,2,0.000109,0.0275,0
-3.507,0.589,0.448,134.021,0.715,0.0659,7,0.592,0.0429,0
-6.56,0.73,0.774,121.515,0.61,0.112,5,0.124,0.0315,0
-4.365,0.606,0.405,136.037,0.642,0.113,6,0.194,0.0342,0
-3.804,0.578,0.619,128.038,0.866,0.257,1,0.00701,0.0619,0
-4.407,0.658,0.662,97.976,0.678,0.361,1,0.303,0.058,0
-5.84,0.67,0.859,79.996,0.801,0.261,0,0.0522,0.0571,1
-8.673,0.594,0.205,117.989,0.457,0.1,4,0.612,0.0303,0
-2.385,0.67,0.516,100.021,0.905,0.0577,2,0.0625,0.0339,0
-5.411,0.681,0.688,81.942,0.838,0.605,2,0.472,0.186,0
-5.718,0.68,0.574,144.001,0.756,0.137,10,0.546,0.0605,0
-4.417,0.487,0.484,149.937,0.9,0.358,0,6.79e-05,0.0482,0
-9.084,0.734,0.338,131.959,0.598,0.166,1,0.488,0.0647,0
-5.042,0.544,0.488,97.009,0.819,0.0908,2,0.000254,0.0844,0
-6.777,0.64,0.658,156.108,0.851,0.0454,2,0.296,0.14,0
-6.596,0.646,0.681,99.165,0.77,0.0715,2,0.00249,0.226,0
-5.931,0.764,0.781,104.027,0.873,0.383,1,0.361,0.0797,0
-4.013,0.599,0.52,140.046,0.785,0.151,3,0.448,0.0309,0
-4.305,0.714,0.913,107.936,0.963,0.106,0,0.113,0.0398,0
-6.661,0.483,0.331,82.908,0.564,0.0848,11,0.489,0.0431,0
-6.834,0.509,0.315,170.037,0.537,0.0805,5,0.344,0.0383,0
-6.698,0.613,0.77,100.936,0.863,0.0944,7,0.292,0.0518,1
-2.84,0.629,0.946,101.022,0.937,0.0744,1,0.293,0.115,1
-4.554,0.701,0.0591,171.388,0.728,0.361,2,0.00971,0.255,0
-4.489,0.681,0.864,119.875,0.843,0.291,6,0.116,0.0292,0
-3.209,0.312,0.297,189.892,0.946,0.288,4,0.00749,0.107,0
-1.433,0.646,0.88,136.12,0.971,0.218,9,0.293,0.0531,0
-5.062,0.585,0.42,172.365,0.948,0.331,9,0.0143,0.0869,0
-6.306,0.593,0.895,148.019,0.875,0.111,5,0.00348,0.0332,0
-7.77,0.49,0.292,200.064,0.694,0.106,4,0.0645,0.0463,0
-4.929,0.703,0.828,99.182,0.936,0.0425,0,0.0751,0.057,0
-5.448,0.845,0.96,100.0,0.768,0.0575,6,0.00733,0.188,0
-5.066,0.716,0.693,105.949,0.915,0.219,8,0.195,0.0537,1
-6.372,0.665,0.871,103.99,0.884,0.151,9,0.157,0.149,1
-5.707,0.589,0.311,88.535,0.552,0.106,9,0.175,0.0268,0
-4.843,0.651,0.561,144.95,0.894,0.13,6,0.0706,0.0317,0
-5.008,0.783,0.54,107.01,0.685,0.108,9,0.627,0.0271,0
-5.26,0.775,0.727,99.604,0.712,0.0975,6,0.0707,0.0969,1
-4.97,0.55,0.23,127.041,0.788,0.13,4,0.0985,0.0533,0
-8.213,0.71,0.538,84.029,0.556,0.107,8,0.146,0.0791,0
-6.803,0.632,0.215,80.875,0.473,0.103,0,0.721,0.0281,0
-5.504,0.609,0.234,127.959,0.706,0.189,1,0.00153,0.0628,0
-8.177,0.73,0.613,168.091,0.552,0.224,2,0.18,0.146,0
-6.843,0.599,0.294,97.989,0.732,0.143,5,0.0145,0.0262,0
-5.742,0.643,0.533,98.008,0.834,0.297,9,0.00344,0.0832,1
-5.471,0.688,0.565,120.012,0.829,0.602,0,0.113,0.0505,0
-3.236,0.59,0.674,119.818,0.929,0.0598,2,0.0714,0.0478,0
-4.158,0.628,0.744,159.977,0.821,0.121,2,0.176,0.0482,0
-7.97,0.745,0.66,124.991,0.878,0.113,5,0.0854,0.0408,0
-3.821,0.724,0.938,123.989,0.814,0.0642,1,0.0399,0.031,0
-6.057,0.529,0.532,126.341,0.738,0.25,7,0.118,0.109,0
-6.785,0.472,0.203,96.011,0.504,0.202,4,0.171,0.0279,0
-5.498,0.675,0.764,100.014,0.885,0.168,5,0.0447,0.0632,1
-3.476,0.656,0.619,110.054,0.94,0.0684,7,0.219,0.0636,0
-5.892,0.387,0.417,80.618,0.713,0.413,9,0.574,0.0306,1
-6.039,0.677,0.768,145.965,0.843,0.973,11,0.429,0.0279,0
-7.998,0.583,0.457,105.413,0.527,0.117,7,0.473,0.0273,0
-6.241,0.664,0.754,130.074,0.815,0.103,5,0.0416,0.0338,0
-4.826,0.573,0.339,132.836,0.574,0.125,0,0.406,0.0468,0
-7.519,0.653,0.482,95.982,0.609,0.233,11,0.263,0.037,0
-3.92,0.686,0.563,122.099,0.874,0.129,9,0.0667,0.0512,0
-3.96,0.685,0.9,129.95,0.76,0.0737,2,0.154,0.0382,0
-4.367,0.695,0.348,118.893,0.711,0.0682,6,0.063,0.0471,0
-9.733,0.67,0.297,120.021,0.649,0.106,1,0.0075,0.0321,0
-1.73,0.682,0.845,95.992,0.894,0.416,0,0.0381,0.0727,0
-5.613,0.546,0.447,104.029,0.539,0.231,10,0.123,0.0267,0
-7.069,0.591,0.34,143.98,0.659,0.0986,2,0.213,0.046,0
-5.598,0.476,0.374,175.956,0.807,0.076,9,0.237,0.177,0
-5.951,0.829,0.883,87.991,0.878,0.776,9,0.0959,0.101,0
-11.646,0.694,0.366,66.582,0.133,0.109,11,0.968,0.0436,0
-9.869,0.436,0.0609,119.483,0.333,0.187,6,0.722,0.0354,0
-3.462,0.7,0.962,136.045,0.967,0.333,8,0.073,0.0463,0
-5.555,0.7,0.665,136.035,0.837,0.554,11,0.0844,0.217,1
-4.452,0.731,0.812,132.042,0.932,0.278,3,0.129,0.0699,1
-7.928,0.564,0.315,129.981,0.451,0.132,2,0.597,0.0303,0
-5.026,0.657,0.488,163.966,0.843,0.378,6,0.186,0.0627,0
-5.336,0.735,0.859,110.109,0.964,0.319,9,0.6,0.195,1
-6.502,0.739,0.679,126.012,0.949,0.246,8,0.0937,0.0377,1
-3.306,0.678,0.499,90.004,0.819,0.159,8,0.191,0.0313,0
-4.427,0.591,0.536,128.041,0.899,0.102,8,0.0351,0.0377,0
-9.386,0.586,0.58,114.997,0.935,0.159,4,0.000155,0.0482,0
-5.604,0.673,0.54,133.932,0.788,0.117,11,0.431,0.0398,0
-3.215,0.694,0.797,92.478,0.935,0.0324,7,0.359,0.105,0
-8.129,0.676,0.961,134.99,0.956,0.0207,1,0.0372,0.0399,0
-7.719,0.709,0.75,169.867,0.733,0.192,5,0.0444,0.213,0
-3.513,0.676,0.933,96.95,0.842,0.0946,7,0.0642,0.056,0
-6.061,0.717,0.87,129.963,0.747,0.189,4,0.193,0.0259,0
-5.832,0.629,0.29,109.282,0.899,0.278,7,0.292,0.246,1
-3.5,0.539,0.693,135.128,0.903,0.271,4,0.0885,0.0549,0
-3.422,0.532,0.76,130.982,0.944,0.303,2,0.00626,0.0537,0
-6.183,0.623,0.848,89.996,0.766,0.0656,7,0.0648,0.0667,0
-6.638,0.618,0.647,129.771,0.573,0.049,2,0.262,0.0351,0
-5.394,0.583,0.835,92.143,0.849,0.168,7,0.707,0.248,0
-4.337,0.674,0.684,127.295,0.854,0.0735,7,0.0579,0.034,0
-5.642,0.602,0.883,184.976,0.947,0.123,1,0.00842,0.115,1
-5.665,0.707,0.819,118.854,0.903,0.186,5,0.0524,0.0789,0
-4.938,0.451,0.198,122.444,0.97,0.102,0,0.0264,0.107,0
-3.108,0.636,0.699,135.041,0.972,0.79,11,0.674,0.07,0
-5.062,0.736,0.931,131.032,0.68,0.264,11,0.0239,0.0389,0
-5.72,0.604,0.447,89.994,0.831,0.105,5,0.0359,0.0387,0
-4.254,0.61,0.718,129.806,0.8,0.0957,3,0.187,0.0436,0
-9.11,0.316,0.299,117.363,0.484,0.0912,9,0.000334,0.0308,0
-7.473,0.675,0.512,107.97,0.811,0.418,11,0.308,0.0272,0
-3.835,0.75,0.975,120.024,0.942,0.228,5,0.3,0.0347,0
-4.185,0.343,0.411,81.293,0.914,0.978,11,0.159,0.235,0
-7.86,0.673,0.347,80.078,0.496,0.107,5,0.396,0.167,0
-5.259,0.65,0.871,124.923,0.94,0.292,0,0.0632,0.0417,0
-10.288,0.716,0.41,101.997,0.555,0.0709,4,0.186,0.0558,0
-4.52,0.552,0.524,142.558,0.881,0.0971,0,0.104,0.101,0
-3.009,0.674,0.9,146.089,0.939,0.107,6,0.196,0.0309,0
-7.333,0.808,0.986,127.004,0.821,0.303,10,0.049,0.0329,1
-6.371,0.596,0.815,172.835,0.686,0.121,9,0.196,0.0345,0
-8.135,0.692,0.773,104.948,0.882,0.0538,4,0.143,0.0583,1
-7.942,0.554,0.326,83.387,0.578,0.0747,11,0.111,0.0276,0
-4.464,0.619,0.67,196.064,0.885,0.374,9,0.0879,0.095,0
-5.723,0.451,0.464,105.136,0.872,0.114,2,0.00143,0.0553,0
-5.176,0.369,0.782,189.804,0.911,0.255,8,0.0826,0.0768,0
-8.682,0.456,0.842,79.608,0.843,0.0939,0,0.105,0.0559,0
-4.893,0.534,0.605,130.904,0.693,0.0961,10,0.496,0.0862,0
-15.328,0.423,0.0379,137.169,0.223,0.125,5,0.929,0.0289,0
-6.737,0.633,0.13,97.024,0.63,0.074,7,0.163,0.125,0
-3.594,0.751,0.673,109.897,0.766,0.658,5,0.0174,0.0515,0
-7.311,0.815,0.946,89.916,0.72,0.16,7,0.177,0.0536,0
-4.307,0.482,0.373,167.767,0.706,0.127,3,0.182,0.0411,0
-5.373,0.878,0.904,121.906,0.724,0.133,10,0.168,0.129,0
-10.559,0.631,0.365,94.962,0.326,0.0613,0,0.95,0.0322,0
-7.958,0.749,0.477,110.053,0.712,0.426,9,0.133,0.041,0
-5.115,0.786,0.685,97.577,0.842,0.473,4,0.00305,0.0707,0
-6.633,0.628,0.474,84.446,0.686,0.864,7,0.358,0.0376,0
-7.516,0.766,0.964,126.007,0.563,0.115,9,0.0263,0.0339,0
-5.707,0.589,0.311,88.535,0.552,0.106,9,0.175,0.0268,2
-4.135,0.649,0.86,123.978,0.9,0.694,7,0.146,0.0306,0
-3.186,0.627,0.637,121.975,0.847,0.709,0,0.139,0.0264,0
-5.652,0.741,0.854,129.937,0.866,0.0978,8,0.0902,0.0545,0
-6.81,0.658,0.909,175.978,0.741,0.216,11,0.626,0.0816,0
-4.201,0.629,0.854,127.965,0.988,0.643,11,0.0129,0.0541,1
-2.53,0.819,0.947,95.004,0.774,0.0896,4,0.0297,0.101,0
-5.766,0.711,0.906,160.011,0.822,0.0444,9,0.132,0.231,0
-6.891,0.488,0.416,169.99,0.856,0.0776,1,0.00377,0.063,0
-8.349,0.753,0.967,124.016,0.819,0.0572,7,0.0546,0.0531,0
-7.193,0.774,0.898,126.021,0.955,0.306,0,0.000927,0.0495,1
-4.187,0.458,0.431,124.229,0.755,0.168,7,0.00417,0.0318,0
-4.448,0.836,0.865,92.994,0.78,0.231,7,0.26,0.0665,0
-7.398,0.761,0.657,126.006,0.711,0.0723,4,0.343,0.0744,0
-5.95,0.628,0.724,103.062,0.898,0.193,7,0.00304,0.0342,0
-4.727,0.568,0.307,120.014,0.712,0.118,4,0.0028,0.0352,0
-4.183,0.666,0.956,146.782,0.881,0.267,2,0.00059,0.0348,0
-3.299,0.648,0.857,143.966,0.971,0.317,1,0.00272,0.0897,1
-4.36,0.766,0.548,126.877,0.886,0.0689,9,0.351,0.179,1
-7.355,0.293,0.233,59.226,0.604,0.971,7,0.751,0.286,0
-3.896,0.679,0.801,128.03,0.989,0.0588,1,0.0195,0.0517,0
-6.247,0.827,0.969,122.984,0.747,0.101,0,0.00355,0.0377,0
-5.294,0.435,0.685,155.131,0.857,0.375,8,0.00592,0.167,0
-17.024,0.468,0.383,94.422,0.201,0.0952,4,0.915,0.0388,0
-4.288,0.748,0.96,104.001,0.939,0.32,0,0.0534,0.0341,0
-5.444,0.751,0.894,95.053,0.834,0.355,1,0.3,0.0437,1
-5.424,0.634,0.577,93.04,0.886,0.118,9,0.154,0.0434,0
-3.498,0.905,0.962,118.95,0.882,0.0958,8,0.17,0.0489,0
-6.833,0.754,0.818,142.137,0.819,0.345,0,0.0684,0.112,0
-5.569,0.481,0.327,152.035,0.593,0.112,7,0.232,0.0329,0
-9.615,0.499,0.843,140.4,0.721,0.295,9,0.216,0.0564,1
-5.605,0.703,0.874,83.287,0.889,0.534,10,0.313,0.0974,0
-4.81,0.82,0.906,130.993,0.937,0.35,5,0.135,0.0551,1
-6.108,0.694,0.854,125.014,0.941,0.109,10,0.00224,0.0408,0
-7.514,0.682,0.922,93.975,0.896,0.0852,0,0.527,0.0897,0
-8.912,0.784,0.787,95.008,0.592,0.346,0,0.00937,0.033,0
-5.18,0.895,0.891,99.998,0.92,0.16,1,0.0852,0.187,1
-4.627,0.662,0.542,141.007,0.798,0.174,8,0.306,0.0335,0
-8.031,0.643,0.471,126.975,0.757,0.0883,9,0.0435,0.0347,0
-4.159,0.606,0.258,110.99,0.738,0.158,1,0.518,0.0316,0
-3.186,0.627,0.637,121.975,0.847,0.709,0,0.139,0.0264,0
-6.51,0.521,0.401,116.902,0.882,0.204,9,0.0918,0.0797,0
-5.931,0.777,0.68,97.911,0.601,0.0348,2,0.0406,0.126,0
-3.275,0.643,0.499,112.677,0.809,0.154,7,0.45,0.028,0
-4.855,0.695,0.826,103.188,0.927,0.954,9,0.311,0.0524,0
-5.516,0.55,0.659,95.012,0.758,0.211,11,0.481,0.0502,0
-7.039,0.591,0.416,132.082,0.741,0.144,11,0.0119,0.033,2
-5.539,0.601,0.672,154.694,0.737,0.239,3,0.629,0.119,0
-5.635,0.409,0.63,84.203,0.86,0.216,2,0.0116,0.0338,0
-8.483,0.701,0.486,128.011,0.784,0.0953,0,0.144,0.0349,0
-7.188,0.618,0.519,124.981,0.774,0.654,8,0.00171,0.035,0
-6.119,0.777,0.678,107.264,0.801,0.141,0,0.107,0.0483,0
-3.267,0.445,0.599,129.045,0.919,0.112,7,0.0134,0.0712,0
-4.264,0.708,0.861,103.035,0.772,0.467,7,0.0267,0.0322,1
-8.921,0.658,0.81,118.959,0.817,0.333,0,0.0936,0.0315,0
-5.173,0.699,0.962,119.959,0.789,0.0874,11,0.13,0.0285,0
-8.287,0.537,0.607,138.059,0.719,0.0975,7,0.342,0.0349,0
-10.081,0.537,0.244,83.936,0.373,0.083,6,0.691,0.0331,0
-4.965,0.637,0.96,125.998,0.877,0.137,0,0.0665,0.0355,0
-8.146,0.575,0.588,88.001,0.685,0.15,2,0.0148,0.0452,0
-6.107,0.528,0.402,137.026,0.692,0.13,2,0.0673,0.0309,0
-7.754,0.607,0.768,126.988,0.82,0.269,11,0.0541,0.0597,0
-6.492,0.536,0.389,136.258,0.928,0.2,11,0.0154,0.0589,0
-6.689,0.653,0.792,117.038,0.78,0.269,2,0.00258,0.0398,0
-3.946,0.8,0.914,122.98,0.889,0.0948,8,0.136,0.0369,0
-3.797,0.48,0.538,160.802,0.861,0.328,0,0.126,0.255,0
-6.593,0.258,0.0967,180.043,0.437,0.106,11,0.101,0.039,0
-3.756,0.425,0.933,178.043,0.954,0.0555,1,0.00411,0.0476,1
-6.542,0.65,0.465,120.051,0.537,0.0995,7,0.613,0.034,0
-9.515,0.878,0.785,113.913,0.626,0.0406,7,0.0304,0.0329,0
-6.185,0.773,0.757,128.004,0.813,0.0551,11,0.00335,0.155,1
-6.355,0.546,0.687,125.505,0.932,0.107,0,0.000301,0.034,0
